"March","April","May","June","July","August","September","October","November","December16","January17","February","March","April"
300.533333333333,334.642857142857,272.933333333333,225.8,248.633333333333,246,289.5,239.733333333333,292.333333333333,331.666666666667,295.2,321.733333333333,316.9,328.448275862069
303.2,337.392857142857,275,229.566666666667,248.633333333333,246.1,291.233333333333,241.8,292.533333333333,331.766666666667,296,322.766666666667,318,331.689655172414
306.3,337.821428571429,278.933333333333,233.266666666667,246.6,244.633333333333,292.1,247.9,292.466666666667,332.233333333333,297.433333333333,323.966666666667,319.433333333333,335.724137931034
308.2,334.857142857143,280.133333333333,235.733333333333,245.2,241.933333333333,291.066666666667,252.3,292.966666666667,330.1,296.166666666667,323.4,319.766666666667,337.103448275862
309.933333333333,335.5,281.033333333333,237.8,245.133333333333,241.666666666667,290.3,255.066666666667,293.333333333333,330.366666666667,296.233333333333,322.933333333333,320.5,340.931034482759
310.1,334.821428571429,281.4,239.566666666667,244.866666666667,242.633333333333,288.2,256.133333333333,291.9,329.733333333333,296.1,323.633333333333,321.866666666667,342.310344827586
310.2,334.678571428571,280.566666666667,239.8,243.866666666667,242.566666666667,287.9,256.366666666667,290.733333333333,329.666666666667,296.1,322.666666666667,321.366666666667,342.344827586207
310.3,335.107142857143,281.033333333333,240.333333333333,244.066666666667,242.533333333333,287.233333333333,256.433333333333,290.033333333333,328.966666666667,296.2,322.766666666667,321.5,342.655172413793
309.366666666667,335.607142857143,281.1,239.733333333333,242.866666666667,242.366666666667,286.966666666667,255.833333333333,289.533333333333,328.4,296.1,320.5,320.9,342.172413793103
308.666666666667,334.25,281.333333333333,239.4,242.933333333333,242,286.7,256.066666666667,290.166666666667,328.966666666667,296.266666666667,319.433333333333,320.266666666667,342.379310344828
308.4,333.857142857143,283.533333333333,239.866666666667,242.566666666667,241.1,286,255.9,290.066666666667,332.566666666667,296.966666666667,318.733333333333,320.1,342.137931034483
308.8,333.428571428571,285.333333333333,240.8,242.633333333333,239.533333333333,284.7,254.433333333333,290.633333333333,329.666666666667,298.066666666667,318.2,320.033333333333,341.172413793103
309.266666666667,332.107142857143,286.866666666667,242.566666666667,241.466666666667,239.033333333333,283.866666666667,255.8,291.1,329.333333333333,297.866666666667,317.733333333333,320.7,340.965517241379
310.166666666667,330.25,289.566666666667,243.8,240.333333333333,239.1,282.8,254.466666666667,291.1,328.933333333333,297.6,317.333333333333,322.166666666667,340.172413793103
312.166666666667,330.428571428571,294.433333333333,247.6,240,240.633333333333,283.833333333333,255.5,291.6,329.733333333333,298.566666666667,316.766666666667,323.233333333333,341.51724137931
313.2,330.607142857143,296.633333333333,250.066666666667,238.766666666667,242.033333333333,283.266666666667,258.633333333333,290.533333333333,330.433333333333,300.6,316.9,324.233333333333,341.068965517241
313.633333333333,330.5,299.333333333333,251.566666666667,238.166666666667,243.7,282.1,260.8,290.166666666667,331.8,300.9,317.366666666667,324.6,340.965517241379
314.066666666667,330.464285714286,299.366666666667,253.8,237.4,244.733333333333,280.9,260.366666666667,290.3,331.966666666667,301.666666666667,317,323.9,340.827586206897
315.6,331.071428571429,298.833333333333,254.466666666667,236.566666666667,245.033333333333,280.033333333333,259.933333333333,291.633333333333,332.7,302.4,316.766666666667,323.333333333333,342
315.2,331.464285714286,298.133333333333,255.666666666667,236.533333333333,245.7,278.966666666667,260.166666666667,292.333333333333,332.566666666667,303.133333333333,316.333333333333,322.733333333333,341.48275862069
318.766666666667,330.571428571429,297.133333333333,255.666666666667,237.133333333333,244.866666666667,278.266666666667,260.866666666667,293.3,332.233333333333,303.2,316.466666666667,323.133333333333,342.206896551724
