Hours;DK1;DK2;DK;SYS;DK1;DK2
10Ê-Ê11;3055;1935;4990;293,55;288,4;288,4
11Ê-Ê12;3042;1936;4978;289,75;271,99;271,99
12Ê-Ê13;2971;1918;4889;287,81;261,1;261,1
13Ê-Ê14;3009;1899;4908;280,42;248,42;248,42
14Ê-Ê15;2965;1873;4838;289,45;240,29;240,29
15Ê-Ê16;2876;1877;4753;309,74;246,18;246,18
16Ê-Ê17;2957;1993;4950;332,94;269,16;352,56
17Ê-Ê18;3176;2137;5313;339,88;312,87;417,54
18Ê-Ê19;3027;2050;5077;298,77;300,86;300,86
19Ê-Ê20;2841;1909;4750;219,4;221,49;221,49
20Ê-Ê21;2661;1775;4436;193,51;194,33;194,33
21Ê-Ê22;2504;1658;4162;191,87;184,71;184,71
22Ê-Ê23;2296;1502;3798;176,5;173,82;173,82
23Ê-Ê00;2082;1348;3430;160,99;160,46;160,46
00Ê-Ê01;1924;1250;3174;157,12;156,67;156,67
01Ê-Ê02;1879;1199;3078;147,12;146,67;146,67
02Ê-Ê03;1883;1176;3059;140,03;138,77;139,66
03Ê-Ê04;1899;1173;3072;139,59;139,21;139,21
04Ê-Ê05;1930;1197;3127;145,41;134,66;144,06
05Ê-Ê06;2064;1305;3369;162,27;155,4;159,21
06Ê-Ê07;2480;1585;4065;182,56;175,47;175,47
07Ê-Ê08;2941;1852;4793;246,57;205,16;205,16
08Ê-Ê09;3125;1977;5102;254,55;223,67;226,43
09Ê-Ê10;3085;2000;5085;252,99;229,26;229,26
10Ê-Ê11;3104;1945;5049;239,56;234,63;234,63
11Ê-Ê12;2859;1915;4774;250,9;250,37;250,37
12Ê-Ê13;2645;1921;4566;260,3;253,58;253,58
13Ê-Ê14;2662;1917;4579;260,74;254,33;254,33
14Ê-Ê15;2729;1906;4635;263,06;253,81;253,81
15Ê-Ê16;2734;1927;4661;324,08;279,32;324,9
16Ê-Ê17;2897;2028;4925;559,54;295,29;613,25
17Ê-Ê18;3307;2213;5520;588,34;320,8;745,53
18Ê-Ê19;3231;2171;5402;406;314,98;447,03
19Ê-Ê20;3015;2029;5044;261,04;289,92;289,92
20Ê-Ê21;2813;1883;4696;210,39;220,98;220,98
21Ê-Ê22;2628;1744;4372;200,84;201,21;201,21
22Ê-Ê23;2429;1596;4025;189,87;189,65;189,65
23Ê-Ê00;2212;1437;3649;171,22;171,22;171,22
00Ê-Ê01;2079;1327;3406;175,1;175,4;175,4
01Ê-Ê02;2005;1269;3274;168,24;168,46;168,46
02Ê-Ê03;1984;1241;3225;165,48;165,78;165,78
