Time ID,070,071,072,073,074,075,076,077,078,079,080
 01:20:00  09/01/17,3.50,3.28,3.61,3.50,3.50,3.50,3.39,0.78,3.89,4.50,3.72
 01:30:00  09/01/17,3.50,3.28,3.61,3.89,3.50,3.50,3.39,0.50,3.28,3.72,4.50
 01:40:00  09/01/17,3.50,3.28,3.61,3.89,3.50,3.50,3.39,0.50,3.28,3.72,4.50
 01:50:00  09/01/17,3.50,3.28,3.61,3.89,3.50,3.50,3.39,0.50,3.28,3.72,4.50
 02:00:00  09/01/17,4.00,3.78,4.22,3.39,3.50,3.50,4.00,0.50,3.28,3.39,3.50
 02:10:00  09/01/17,4.00,3.78,4.22,3.39,3.50,3.50,4.00,0.50,3.28,3.39,3.50
 02:20:00  09/01/17,4.00,3.78,4.22,3.39,3.50,3.50,4.00,0.50,3.28,3.39,3.50
 02:30:00  09/01/17,3.39,3.39,3.50,3.39,3.50,3.50,3.22,1.50,3.28,3.39,3.50
 02:40:00  09/01/17,3.39,3.39,3.50,3.39,3.50,3.50,3.22,1.50,3.28,3.39,3.50
 02:50:00  09/01/17,3.39,3.39,3.50,3.39,3.50,3.50,3.22,1.50,3.28,3.39,3.50
 03:00:00  09/01/17,3.39,3.39,3.50,3.39,3.50,3.50,3.50,1.89,3.28,3.39,3.50
 03:10:00  09/01/17,3.39,3.39,3.50,3.39,3.50,3.50,3.50,1.89,3.28,3.39,3.50
 03:20:00  09/01/17,3.39,3.39,3.50,3.39,3.50,3.50,3.50,1.89,3.28,3.39,3.50
 03:30:00  09/01/17,3.72,3.39,3.50,4.39,3.50,3.50,3.50,1.89,3.78,5.28,3.50
 03:40:00  09/01/17,3.72,3.39,3.50,4.39,3.50,3.50,3.50,1.89,3.78,5.28,3.50
 03:50:00  09/01/17,3.72,3.39,3.50,4.39,3.50,3.50,3.50,1.89,3.78,5.28,3.50
 04:00:00  09/01/17,3.72,3.39,3.50,3.39,3.22,3.00,3.50,0.72,3.11,3.28,2.72
 04:10:00  09/01/17,3.72,3.39,3.50,3.39,3.22,3.00,3.50,0.72,3.11,3.28,2.72
 04:20:00  09/01/17,3.72,3.39,3.50,3.39,3.22,3.00,3.50,0.72,3.11,3.28,2.72
 04:30:00  09/01/17,3.22,3.39,3.11,3.39,3.50,3.50,3.50,1.28,3.72,4.72,3.28
 04:40:00  09/01/17,3.22,3.39,3.11,3.39,3.50,3.50,3.50,1.28,3.72,4.72,3.28
 04:50:00  09/01/17,3.22,3.39,3.11,3.39,3.50,3.50,3.50,1.28,3.72,4.72,3.28
 05:00:00  09/01/17,3.61,3.39,3.61,3.72,3.50,3.50,3.50,0.89,3.00,3.61,5.00
 05:10:00  09/01/17,3.61,3.39,3.61,3.72,3.50,3.50,3.50,0.89,3.00,3.61,5.00
 05:20:00  09/01/17,3.61,3.39,3.61,3.72,3.50,3.50,3.50,0.89,3.00,3.61,5.00
 05:30:00  09/01/17,4.28,4.00,4.28,3.28,3.50,3.50,3.89,1.72,3.28,3.61,3.22
 05:40:00  09/01/17,4.28,4.00,4.28,3.28,3.50,3.50,3.89,1.72,3.28,3.61,3.22
 05:50:00  09/01/17,4.28,4.00,4.28,3.28,3.50,3.50,3.89,1.72,3.28,3.61,3.22
 06:00:00  09/01/17,3.50,3.39,3.50,3.28,3.50,3.50,3.28,1.39,3.61,3.11,3.78
 06:10:00  09/01/17,3.50,3.39,3.50,3.28,3.50,3.50,3.28,1.39,3.61,3.11,3.78
 06:20:00  09/01/17,3.50,3.39,3.50,3.28,3.50,3.50,3.28,1.39,3.61,3.11,3.78
 06:30:00  09/01/17,7.61,3.39,3.50,6.11,5.50,4.78,5.50,0.78,3.28,3.61,3.78
 06:40:00  09/01/17,7.61,3.39,3.50,6.11,5.50,4.78,5.50,0.78,3.28,3.61,3.78
 06:50:00  09/01/17,7.61,3.39,3.50,6.11,5.50,4.78,5.50,0.78,3.28,3.61,3.78
 07:00:00  09/01/17,4.00,3.72,3.50,3.61,6.50,5.50,5.78,1.28,3.28,5.28,4.22
 07:10:00  09/01/17,4.00,3.72,3.50,3.61,6.50,5.50,5.78,1.28,3.28,5.28,4.22
 07:20:00  09/01/17,4.00,3.72,3.50,3.61,6.50,5.50,5.78,1.28,3.28,5.28,4.22
 07:30:00  09/01/17,3.39,3.72,3.11,3.11,4.11,4.00,3.78,7.28,10.22,11.72,10.61
 07:40:00  09/01/17,3.39,3.72,3.11,3.11,4.11,4.00,3.78,7.28,10.22,11.72,10.61
 07:50:00  09/01/17,3.39,3.72,3.11,3.11,4.11,4.00,3.78,7.28,10.22,11.72,10.61
 08:00:00  09/01/17,3.39,3.22,3.11,3.61,3.39,3.39,3.11,4.39,3.11,5.39,4.39
 08:10:00  09/01/17,3.39,3.22,3.11,3.61,3.39,3.39,3.11,4.39,3.11,5.39,4.39
 08:20:00  09/01/17,3.39,3.22,3.11,3.61,3.39,3.39,3.11,4.39,3.11,5.39,4.39
 08:30:00  09/01/17,3.39,3.22,3.11,3.11,3.39,4.78,4.11,1.39,4.39,4.00,3.72
 08:40:00  09/01/17,3.39,3.22,3.11,3.11,3.39,4.78,4.11,1.39,4.39,4.00,3.72
 08:50:00  09/01/17,3.39,3.22,3.11,3.11,3.39,4.78,4.11,1.39,4.39,4.00,3.72
 09:00:00  09/01/17,3.78,3.22,3.39,3.11,3.39,3.00,3.11,0.72,3.28,3.39,4.78
 09:10:00  09/01/17,3.78,3.22,3.39,3.11,3.39,3.00,3.11,0.72,3.28,3.39,4.78
 09:20:00  09/01/17,3.78,3.22,3.39,3.11,3.39,3.00,3.11,0.72,3.28,3.39,4.78
 09:30:00  09/01/17,3.28,3.22,3.39,4.39,3.39,3.00,3.11,1.39,3.89,3.39,4.22
 09:40:00  09/01/17,3.28,3.22,3.39,4.39,3.39,3.00,3.11,1.39,3.89,3.39,4.22
 09:50:00  09/01/17,3.28,3.22,3.39,4.39,3.39,3.00,3.11,1.39,3.89,3.39,4.22
 10:00:00  09/01/17,3.28,3.78,4.28,3.28,4.28,3.50,3.89,0.50,3.22,4.00,3.00
 10:10:00  09/01/17,3.28,3.78,4.28,3.28,4.28,3.50,3.89,0.50,3.22,4.00,3.00
 10:20:00  09/01/17,3.28,3.78,4.28,3.28,4.28,3.50,3.89,0.50,3.22,4.00,3.00
 10:30:00  09/01/17,3.28,3.78,4.28,5.28,4.78,4.61,4.89,1.11,3.22,3.28,3.72
 10:40:00  09/01/17,3.28,3.78,4.28,5.28,4.78,4.61,4.89,1.11,3.22,3.28,3.72
 10:50:00  09/01/17,3.28,3.78,4.28,5.28,4.78,4.61,4.89,1.11,3.22,3.28,3.72
 11:00:00  09/01/17,3.61,4.11,3.72,7.22,6.72,5.78,7.00,2.11,3.61,5.50,3.11
 11:10:00  09/01/17,3.61,4.11,3.72,7.22,6.72,5.78,7.00,2.11,3.61,5.50,3.11
 11:20:00  09/01/17,3.61,4.11,3.72,7.22,6.72,5.78,7.00,2.11,3.61,5.50,3.11
 11:30:00  09/01/17,3.22,3.22,3.28,3.89,3.61,3.39,4.22,1.28,3.61,3.39,3.39
 11:40:00  09/01/17,3.22,3.22,3.28,3.89,3.61,3.39,4.22,1.28,3.61,3.39,3.39
 11:50:00  09/01/17,3.22,3.22,3.28,3.89,3.61,3.39,4.22,1.28,3.61,3.39,3.39
 12:00:00  09/01/17,3.50,3.22,3.00,5.11,4.11,3.39,3.22,1.00,3.89,3.39,3.39
