Time ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
 12:40:00  08/01/17,-19.61,-19.39,-18.72,-19.28,-19.22,-21.28,-19.11,-18.72,-21.28,-21.11,-21.22,-20.78,-20.78,-20.89,-21.11,-19.50
 12:50:00  08/01/17,-19.61,-19.39,-18.72,-19.28,-19.22,-21.28,-19.11,-18.72,-21.28,-21.11,-21.22,-20.78,-20.78,-20.89,-21.11,-19.50
 13:00:00  08/01/17,-19.61,-19.39,-21.61,-21.72,-21.22,-18.89,-20.89,-20.72,-19.78,-19.78,-20.28,-19.11,-20.28,-18.72,-19.28,-21.00
 13:10:00  08/01/17,-19.61,-19.39,-21.61,-21.72,-21.22,-18.89,-20.89,-20.72,-19.78,-19.78,-20.28,-19.11,-20.28,-18.72,-19.28,-21.00
 13:20:00  08/01/17,-19.61,-19.39,-21.61,-21.72,-21.22,-18.89,-20.89,-20.72,-19.78,-19.78,-20.28,-19.11,-20.28,-18.72,-19.28,-21.00
 13:30:00  08/01/17,-19.11,-19.39,-20.28,-20.72,-20.72,-20.11,-20.00,-20.72,-19.78,-19.78,-19.39,-19.72,-20.28,-20.61,-19.89,-19.78
 13:40:00  08/01/17,-19.11,-19.39,-20.28,-20.72,-20.72,-20.11,-20.00,-20.72,-19.78,-19.78,-19.39,-19.72,-20.28,-20.61,-19.89,-19.78
 13:50:00  08/01/17,-19.11,-19.39,-20.28,-20.72,-20.72,-20.11,-20.00,-20.72,-19.78,-19.78,-19.39,-19.72,-20.28,-20.61,-19.89,-19.78
 14:00:00  08/01/17,-19.78,-19.78,-18.72,-18.61,-18.61,-20.11,-20.89,-20.00,-21.28,-21.28,-21.39,-21.39,-20.28,-18.61,-21.78,-21.11
 14:10:00  08/01/17,-19.78,-19.78,-18.72,-18.61,-18.61,-20.11,-20.89,-20.00,-21.28,-21.28,-21.39,-21.39,-20.28,-18.61,-21.78,-21.11
 14:20:00  08/01/17,-19.78,-19.78,-18.72,-18.61,-18.61,-20.11,-20.89,-20.00,-21.28,-21.28,-21.39,-21.39,-20.28,-18.61,-21.78,-21.11
 14:30:00  08/01/17,-19.39,-19.50,-19.89,-19.89,-19.50,-19.39,-19.28,-19.50,-18.72,-19.11,-20.39,-19.61,-20.28,-19.89,-19.50,-20.50
 14:40:00  08/01/17,-19.39,-19.50,-19.89,-19.89,-19.50,-19.39,-19.28,-19.50,-18.72,-19.11,-20.39,-19.61,-20.28,-19.89,-19.50,-20.50
 14:50:00  08/01/17,-19.39,-19.50,-19.89,-19.89,-19.50,-19.39,-19.28,-19.50,-18.72,-19.11,-20.39,-19.61,-20.28,-19.89,-19.50,-20.50
 15:00:00  08/01/17,-19.39,-19.50,-21.22,-20.78,-20.61,-20.78,-20.61,-21.39,-21.22,-21.11,-19.39,-19.89,-20.28,-20.72,-20.61,-18.78
 15:10:00  08/01/17,-19.39,-19.50,-21.22,-20.78,-20.61,-20.78,-20.61,-21.39,-21.22,-21.11,-19.39,-19.89,-20.28,-20.72,-20.61,-18.78
 15:20:00  08/01/17,-19.39,-19.50,-21.22,-20.78,-20.61,-20.78,-20.61,-21.39,-21.22,-21.11,-19.39,-19.89,-20.28,-20.72,-20.61,-18.78
 15:30:00  08/01/17,-19.39,-19.50,-21.72,-21.39,-21.28,-19.50,-20.22,-20.39,-18.89,-20.00,-21.28,-21.22,-20.61,-18.78,-20.11,-20.39
 15:40:00  08/01/17,-19.39,-19.50,-21.72,-21.39,-21.28,-19.50,-20.22,-20.39,-18.89,-20.00,-21.28,-21.22,-20.61,-18.78,-20.11,-20.39
 15:50:00  08/01/17,-19.39,-19.50,-21.72,-21.39,-21.28,-19.50,-20.22,-20.39,-18.89,-20.00,-21.28,-21.22,-20.61,-18.78,-20.11,-20.39
 16:00:00  08/01/17,-19.39,-19.50,-20.28,-20.61,-19.89,-20.00,-19.11,-19.28,-20.61,-19.72,-19.78,-18.61,-20.11,-20.00,-19.61,-20.89
 16:10:00  08/01/17,-19.39,-19.50,-20.28,-20.61,-19.89,-20.00,-19.11,-19.28,-20.61,-19.72,-19.78,-18.61,-20.11,-20.00,-19.61,-20.89
 16:20:00  08/01/17,-19.39,-19.50,-20.28,-20.61,-19.89,-20.00,-19.11,-19.28,-20.61,-19.72,-19.78,-18.61,-20.11,-20.00,-19.61,-20.89
 16:30:00  08/01/17,-19.39,-19.50,-18.72,-18.61,-19.28,-20.78,-19.11,-21.50,-21.22,-21.11,-19.78,-20.89,-20.11,-21.22,-20.89,-19.78
 16:40:00  08/01/17,-19.39,-19.50,-18.72,-18.61,-19.28,-20.78,-19.11,-21.50,-21.22,-21.11,-19.78,-20.89,-20.11,-21.22,-20.89,-19.78
 16:50:00  08/01/17,-19.39,-19.50,-18.72,-18.61,-19.28,-20.78,-19.11,-21.50,-21.22,-21.11,-19.78,-20.89,-20.11,-21.22,-20.89,-19.78
 17:00:00  08/01/17,-19.39,-19.50,-20.78,-20.89,-20.89,-19.39,-21.28,-20.39,-19.50,-20.61,-21.00,-20.89,-21.11,-20.50,-19.00,-18.89
 17:10:00  08/01/17,-19.39,-19.50,-20.78,-20.89,-20.89,-19.39,-21.28,-20.39,-19.50,-20.61,-21.00,-20.89,-21.11,-20.50,-19.00,-18.89
 17:20:00  08/01/17,-19.39,-19.50,-20.78,-20.89,-20.89,-19.39,-21.28,-20.39,-19.50,-20.61,-21.00,-20.89,-21.11,-20.50,-19.00,-18.89
